variant,N,block,threads,run,time_sec,verified
BMM32,4096,32,6,5,2.785091877,1
BMM32,4096,32,8,1,2.196131945,1
BMM32,4096,32,8,2,2.058806896,1
BMM32,4096,32,8,3,2.074016094,1
BMM32,4096,32,8,4,2.052690983,1
BMM32,4096,32,8,5,2.066704988,1
BMM32,4096,32,10,1,1.830952883,1
BMM32,4096,32,10,2,2.260927200,1
BMM32,4096,32,10,3,2.117840052,1
BMM32,4096,32,10,4,2.091181993,1
BMM32,4096,32,10,5,2.047978163,1
BMM32,4096,32,12,1,1.816799879,1
BMM32,4096,32,12,2,1.930399895,1
BMM32,4096,32,12,3,2.033945084,1
BMM32,4096,32,12,4,1.960087061,1
BMM32,4096,32,12,5,1.732798100,1
BMM32,4096,32,14,1,1.865370035,1
BMM32,4096,32,14,2,1.664064884,1
BMM32,4096,32,14,3,1.783861876,1
BMM32,4096,32,14,4,1.713101864,1
BMM32,4096,32,14,5,1.897979975,1
BMM32,4096,32,16,1,1.759522915,1
BMM32,4096,32,16,2,1.711189032,1
BMM32,4096,32,16,3,1.716216087,1
BMM32,4096,32,16,4,1.686898947,1
BMM32,4096,32,16,5,1.447074175,1
BMM64,4096,64,1,1,10.719269991,1
BMM64,4096,64,1,2,10.582651854,1
BMM64,4096,64,1,3,10.829309940,1
BMM64,4096,64,1,4,10.666296005,1
BMM64,4096,64,1,5,10.694549084,1
BMM64,4096,64,2,1,5.322036982,1
BMM64,4096,64,2,2,5.304369926,1
BMM64,4096,64,2,3,5.345639944,1
BMM64,4096,64,2,4,5.332338095,1
BMM64,4096,64,2,5,5.313749075,1
BMM64,4096,64,4,1,2.824222088,1
BMM64,4096,64,4,2,2.710973024,1
BMM64,4096,64,4,3,2.655294895,1
BMM64,4096,64,4,4,2.700556993,1
BMM64,4096,64,4,5,2.639595985,1
BMM64,4096,64,6,1,1.911682844,1
BMM64,4096,64,6,2,1.817341805,1
BMM64,4096,64,6,3,1.826327801,1
BMM64,4096,64,6,4,1.844516039,1
BMM64,4096,64,6,5,1.798004866,1
BMM64,4096,64,8,1,1.488903999,1
BMM64,4096,64,8,2,1.349771976,1
BMM64,4096,64,8,3,1.368126154,1
BMM64,4096,64,8,4,1.351898909,1
BMM64,4096,64,8,5,1.361644983,1
BMM64,4096,64,10,1,1.593135834,1
BMM64,4096,64,10,2,1.474021912,1
